Unnamed: 0	"NUST BANK PRODUCTS (CONVENTIONAL)
(Click on any product below)"	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5
	Liability Products & Services			Consumer Products 	
	1	NUST Asaan Account (NAA)		1	NUST4Car – NUST Bank’s Auto Finance Facility (FAQs)
	2	Little Champs Account 		2	Personal Finance
	3	NUST Sahar Accounts		3	NUST Master Card
	4	NUST Waqaar Account		4	NUST Mortgage Finance 
	5	PakWatan Remittance Account		SME Products 	
	6	NUST Home Remittance		1	NUST Sahar Finance
	7	RDA Digital Customer Onboarding 		2	NUST Imarat Finance
	8	Current Deposit Account (CDA)		3	NUST Ujala Finance
	9	Value Plus Current Account (Individual) (VPCA)		4	NUST Flour Mill Finance
	10	Value Plus Business Account (VP-BA)		5	NUST Fauri Business Finance
	11	Value Premium Business Account (VPBA)		6	Prime Minister Youth Business & Agriculture Loan Scheme
	12	NUST Maximiser Account		7	NUST Hunarmand Finance 
	13	NUST Special Deposit Account (NSDA)		8	NUST Rice Finance
	14	Profit And Loss Sharing Account (PLS)		Third Party Products	
	15	NUST Asaan Digital Account		1	NUST Life Bancassurance Policy
	16	NUST Asaan Digital Remittance Account		2	EFU Life Bancassurance Policy
	17	NUST Freelancer Digital Account.		3	Jubilee Life Bancassurance Policy
